id,callsign,flightNumber,originIcao,destinationIcao,alternateIcao,atcRoute,aircraftTitle,aircraftDirectory,aircraftRegistration,aircraftIcao,aircraftCategory,distance_travelled_km,state,offBlocksTime,onBlocksTime,realBlockTime,effectiveBlockTime,realFlightTime,effectiveFlightTime,fuelBurn,plannedBlockTime,plannedFlightTime,plannedPax,plannedCargo,plannedAltitude,createdAt,dateTimeParseDate,dateTimeParseTime,dateDayOfWeek,dateTimeParseFull,countryOrigin,muniOrigin,countryDestination,muniDestination,DOWactivity,originIata,destinationIata
07218bdb-605b-45d8-bfc6-0ef5e273360f,CLX4117,CV4117,SAEZ,SCEL,SAME,TORUL1 URINO UL405 TOSOR UT687 UMKAL UMKA6B,Airbus A330-900neo Cargolux,Headwind_A330neo,LX-UCF,A339,Heavy,1305.28542,Completed,2022-08-29T10:49:36.518,2022-08-29T12:43:45.51,6848.992,6848.992,6136.001,6136.001,7925.30993,8400,6358,0,42000,36000,2022-08-29T10:48:25.727021,29/08/2022,21:48:25,Mon,29/08/2022 21:48:25,AR,Buenos Aires (Ezeiza),CL,Santiago,U,EZE,SCL
e222a36b-e8fb-4b84-ace7-5f1bb4bf813f,GIA4771,GA4771,WARR,WIII,WIPP,LASE5F LASEM M766 IMU DCT,Airbus A330-900neo Garuda Indonesia PK-GHG,Headwind_A330neo,PK-GHG,A339,Heavy,727.240074,Completed,2022-11-08T01:43:04.356,2022-11-08T02:53:36.356,4232,4232,3577.001,3577.001,6878.8346,6000,4327,288,15760,34000,2022-11-08T01:33:32.954445,08/11/2022,12:33:32,Tue,08/11/2022 12:33:32,ID,Surabaya,ID,Jakarta,H,SUB,CGK
9f0cbc36-ebd9-4cda-9980-e52c928bfb3d,ANA942,NH942,RJNT,ROAH,ZSPD,URUS4R URUSI Y45 KMC Y382 WAKIT Y282 POPPY Y34 SUKMO Y50 DONKY Y75 ONC Y525 IHEYA IHEYAS,Boeing 787-8 ANA,Kuro_B787_8,JA801A,B788,Heavy,1655.15026,Completed,2023-02-25T21:26:01.373,2023-02-26T00:00:41.373,9239.01927,9239.01927,8890.01927,8890.01927,12376.9151,9300,9036,0,32000,36000,2023-02-25T21:24:13.514432,26/02/2023,08:24:13,Sun,26/02/2023 08:24:13,JP,Toyama,JP,Naha,H,TOY,OKA
ab143272-41e0-426b-9772-8f82c0dd93b0,QFA816,QF816,YSSY,YMHB,YMML,FISHA8 WOL H20 MOTRA W407 IPLET IPLE5W,Airbus A321Neo Qantas airways,aircrafta321neopw,VH-OGR,A21N,Medium,1146.25445,Completed,2023-02-17T02:52:13.677,2023-02-17T04:38:01.677,6346.00389,6346.00389,5876.00389,5876.00389,3391.29603,7500,5957,188,8503,36000,2023-02-17T02:49:58.215334,17/02/2023,13:49:58,Fri,17/02/2023 13:49:58,AU,Sydney,AU,Hobart,H,SYD,HBA
6e229cb1-af98-4a4b-9668-3dc6db65968e,CLX4845,CV4845,LGAV,ELLX,LFPG,KOR2T KOR UL613 YNN UL611 TUMBO DCT OVVER DCT RODON DCT SIPAL DCT NUPSO DCT RIFEN DCT RISOM DCT SOTOV P66 KPT L608 TEDGO DCT KRH DCT BETEX BETE3K,Boeing 747-8F Cargolux,Salty_B747_8i,LX-VCA,B748,Heavy,2036.98774,Completed,2022-05-26T10:32:25.07,2022-05-26T13:15:06.058,9760.988,9760.988,9046.999,9046.999,25942.2528,11400,9597,0,54700,36000,2022-05-26T10:24:04.294027,26/05/2022,21:24:04,Thu,26/05/2022 21:24:04,GR,Athens,LU,Luxembourg,U,ATH,LUX
27149db0-3b9a-4673-ac2f-f7f7f4409a2b,QFA511,QF511,YMHB,YSSY,YWLM,LATUM2 LATUM H111 LT W218 NOLAN UY327 MAKRL J163 CB W423 CULIN Y59 RIVET RIVET3,Airbus A321Neo Qantas airways,aircrafta321neopw,VH-OGR,A21N,Medium,1190.12778,Completed,2022-11-06T20:35:20.243,2022-11-06T22:20:17.232,6296.989,6296.989,5778,5778,3417.56511,7500,5734,174,6350,37000,2022-11-06T20:33:40.091811,07/11/2022,07:33:40,Mon,07/11/2022 07:33:40,AU,Hobart,AU,Sydney,H,HBA,SYD
ae772fc6-985e-452d-ad68-60086416be5b,THA811,TG4811,VTBS,WSSS,WMKK,KIGO3K KIGOB Y11 PIDEL M904 TONIK M644 VKB M751 GUGIT DCT ARAMA ARAM1B,Boeing 777-300ER Thai Airways (Dirty),CS_B777-300ER_GE115B,HS-TTA,B773,Heavy,1660.65852,Completed,2022-07-25T23:23:26.08,2022-07-26T01:34:12.081,7846.001,7846.001,7296.001,7296.001,14507.7873,8700,7429,0,65000,34000,2022-07-25T23:19:45.260817,26/07/2022,10:19:45,Tue,26/07/2022 10:19:45,TH,Bangkok,SG,Singapore,U,BKK,SIN
7588de4f-1622-4589-bbe9-233908a1ace3,UAL655,UA655,KSFO,KJAC,KBIL,TRUKN2 ORRCA Q120 GALLI DCT PARZZ DCT HOMVA DCT,PMDG 737-700 PUnited Airlines 2019 SCI,PMDG 737-700,N24706,B737,Medium,1301.50205,Completed,2022-08-10T21:35:14.762,2022-08-10T23:20:59.764,6345.002,6345.002,5809.001,5809.001,4255.95899,7800,6033,121,6825,35000,2022-08-10T21:30:50.545259,11/08/2022,08:30:50,Thu,11/08/2022 08:30:50,US,San Francisco,US,Jackson,M,SFO,JAC
85b8d55b-86bd-4db3-9a3a-04745e2481c5,CSN417,CZ417,ZGGG,ZUCK,ZUUU,YIN1D YIN G586 QP B330 SJG G586 LAGEX W182 AGTIS W3 QJG QJG3J,Airbus A330-900neo China Southern Airlines,Headwind_A330neo,B-8399,A339,Heavy,1201.39206,Completed,2022-07-16T21:58:30.905,2022-07-16T23:43:30.896,6299.991,6299.991,5593.001,5593.001,9770.71617,7500,5473,274,21479,36000,2022-07-16T21:53:15.153715,17/07/2022,08:53:15,Sun,17/07/2022 08:53:15,CN,Guangzhou (Huadu),CN,Chongqing,H,CAN,CKG
c212a27d-1cc8-45b7-b4f7-b55b81d7321b,BAW922,BA922,EGPF,ENGM,ESOE,NORB1H NORBO Y96 NATEB P15 GIVEM DCT SURAT DCT PETIL L983 BUSOM M604 SVA M609 VAVET DCT RIPAM RIPA4M,B787 10 British Airways G-ZBLA,Asobo_B787_10,G-ZBLA,B78X,Heavy,1404.88858,Completed,2022-10-01T11:02:07.253,2022-10-01T12:54:48.239,6760.986,6760.986,6309,6309,11989.6056,6900,6105,0,52000,38000,2022-10-01T11:00:06.666905,01/10/2022,22:00:06,Sat,01/10/2022 22:00:06,GB,"Paisley, Renfrewshire",NO,Oslo,W,GLA,OSL
